"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","USA"
"Time:","01/1920 - 08/2022"
"Unit of Measure:","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production, 01/1920 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP1845CAA6BEB23"
"ColumnCount:",2
"RowCount:",1232

"Time","US Crude Oil Production (Barrels)"
"10/1968",276396000
"11/1968",269070000
"12/1968",276086000
"01/1969",275528000
"02/1969",249984000
"03/1969",280705000
"04/1969",277140000
"05/1969",290036000
"06/1969",288935000
"07/1969",288145000
"08/1969",281077000
"09/1969",278850000
"10/1969",285603000
"11/1969",280380000
"12/1969",295368000
"01/1970",293818000
"02/1970",267960000
"03/1970",294748000
"04/1970",287730000
"05/1970",295213000
"06/1970",280770000
"07/1970",285274000
"08/1970",296360000
"09/1970",295590000
"10/1970",310403000
"11/1970",301320000
"12/1970",308264000
"01/1971",299305000
"02/1971",272412000
"03/1971",302808000
"04/1971",293070000
"05/1971",298995000
"06/1971",288120000
"07/1971",293121000
"08/1971",291741000
"09/1971",274050000
"10/1971",284022000
"11/1971",274170000
"12/1971",282100000
"01/1972",282534000
"02/1972",270744000
"03/1972",293322000
"04/1972",285390000
"05/1972",298034000
"06/1972",285660000
"07/1972",294376000
"08/1972",293973000
"09/1972",285240000
"10/1972",293930000
"11/1972",282780000
"12/1972",289385000
"01/1973",284454000
"02/1973",263066000
"03/1973",287430000
"04/1973",278757000
"05/1973",287134000
"06/1973",276418000
"07/1973",285731000
"08/1973",284225000
"09/1973",271959000
"10/1973",285940000
"11/1973",274829000
"12/1973",280960000
"01/1974",276950000
"02/1974",255982000
"03/1974",277927000
"04/1974",268619000
"05/1974",276228000
"06/1974",263407000
"07/1974",272184000
"08/1974",269665000
"09/1974",253288000
"10/1974",266949000
"11/1974",257064000
"12/1974",264322000
"01/1975",262104000
"02/1975",240552000
"03/1975",263297000
"04/1975",253698000
"05/1975",259742000
"06/1975",252624000
"07/1975",258408000
